name,full_text,address,phone,opening_hours_raw,email,website,phone_number,opening_hours,street,house_number,postcode,city,full_address,emergency_flag,emergency_details,emergency_phone
,"Klinik für Klein- und Heimtiere, Alt-Biesdorf 22, 12683 Berlin (Biesdorf), 030 51 43 760",,030 51 43 760,,,,49305143760,,Alt-Biesdorf,22,12683.0,Berlin,"Alt-Biesdorf 22, 12683 Berlin",False,,
,"Klinik für Kleintiere (Olof Löwe), Märkische Allee 258, 12679 Berlin (Marzahn), 030 93 22 093",,030 93 22 093,,,,49309322093,,Märkische Allee,258,12679.0,Berlin,"Märkische Allee 258, 12679 Berlin",False,,
,"valera – Medizinisches Kleintierzentrum Berlin, Potsdamer Str. 23/24,14163 Berlin , 030 201 80 57 50",,030 201 80 57 50,,,,4930201805750,,Potsdamer Str.,23,14163.0,Berlin,"Potsdamer Str. 23, 14163 Berlin",False,,
,"Tierarztpraxis Bärenwiese, Uhlandstr 151, 10719 Berlin , (Wilmersdorf), 030 23 36 26 27",,030 23 36 26 27,,,,493023362627,,Uhlandstr,151,10719.0,Berlin,"Uhlandstr 151, 10719 Berlin",False,,
,"Tierarztpraxis Rödiger, Scharnweberstr. 136, 13405 Berlin ), 030 412 73 57",,030 412 73 57,,,,49304127357,,Scharnweberstr.,136,13405.0,Berlin,"Scharnweberstr. 136, 13405 Berlin",False,,
,"Klinik für Klauentiere, Königsweg 65, 14163 Berlin (Zehlendorf), 030 83 86 22 61",,030 83 86 22 61,,,,493083862261,,Königsweg,65,14163.0,Berlin,"Königsweg 65, 14163 Berlin",False,,
,"Klinik für Pferde, Oertzenweg 19b, 14163 Berlin (Zehlendorf), 030 83 86 22 99",,030 83 86 22 99,,,,493083862299,,Oertzenweg,19b,14163.0,Berlin,"Oertzenweg 19b, 14163 Berlin",False,,
,"Tierklinik für Fortpflanzung, Königsweg 63, 14163 Berlin (Zehlendorf), 030 83 86 26 18",,030 83 86 26 18,,,,493083862618,,Königsweg,63,14163.0,Berlin,"Königsweg 63, 14163 Berlin",False,,
,"Tierarztpraxis Sörensen, Königsberger Str. 36, 12207 Berlin (Lichterfelde) , 030 77 38 321 Mo-Fr. 9-20 Uhr | Sa+So+Feiertags 10-18 Uhr",,030 77 38 321 ,,,,49307738321,,Königsberger Str.,36,12207.0,Berlin,"Königsberger Str. 36, 12207 Berlin",False,,
,"Tiergesundheitszentrum Teltow, Kanada Allee 12, 14513 Teltow , 03328-30 18 08 bzw. unter 03328-30 18 98 Mo-Fr 9-19 Uhr, Notfälle: 19-24 Uhr | Sa: 10-14 Uhr, Notfälle: 14-24 Uhr | So & feiertags: 11-13 Uhr, Notfälle: 13-24 Uhr",,03328-30 18 08 ,Mo-Fr 9-19 Uhr,,,493328301808,,Kanada Allee,12,14513.0,Teltow,"Kanada Allee 12, 14513 Teltow",True,19-24 Uhr,
