name,amenity,addr:street,addr:housenumber,addr:postcode,addr:city,phone,website,email,opening_hours,operator,wheelchair,emergency,lat,lon
Tierarztpraxis am Urban,veterinary,Baerwaldstraße,69,10961,Berlin,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,no,,52.4956842,13.4052329
Dr. med. vet. Elke Hartwig,veterinary,Straße 48,67,13125,Berlin,+49 30 9437820,http://www.tierarztpraxis-hartwig.de/,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,limited,,52.6062863,13.4795548
Tierarztpraxis Dr. Bernhard Sörensen,veterinary,Königsberger Straße,36,12207,Berlin,+49 30 7738321,https://www.tierarztpraxis-soerensen.de/,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,yes,,52.4297216,13.3201326
Tierarztpraxis Jeanette Koepsel,veterinary,,,,,,,,,,,,52.5351995,13.2705734
Kleintierarztpraxis Berlin Kaulsdorf,veterinary,Planitzstraße,19,12621,Berlin,+49 30 53018585,https://www.tierarzt-kaulsdorf.de/,info@tierarzt-kaulsdorf.de,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,,,52.5095114,13.5896353
Eva Klein,veterinary,,,,,,,,,,,,52.4288173,13.1935291
Klein- und Heimtierklinik,veterinary,Oertzenweg,19b,14163,Berlin,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,,Freie Universität Berlin,yes,yes,52.4302981,13.2373596
Tierarztpraxis im Frauenviertel - Firchow,veterinary,,,,,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,limited,,52.4042597,13.5071658
Kleintierpraxis Kladow,veterinary,Zingerleweg,29,14089,Berlin,+49 30 3653374,http://www.kleintierpraxis-kladow.de,info@kleintierpraxis-kladow.de,,,,,52.4608878,13.121554
Carsten Schiller,veterinary,Schnellerstraße,97,12439,Berlin,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,no,,52.4531078,13.5245669
Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,veterinary,,,,,,https://www.lewandowski-klug.de/,,,,no,,52.4232758,13.4367554
Gabriele C. Müller,veterinary,Brunowstraße,39,13507,Berlin,+49304343116,https://www.tieraerztin-berlin.com/,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,limited,,52.5870846,13.2811455
Tierarztpraxis Feuerbachstraße,veterinary,Feuerbachstraße,68,12163,Berlin,+49 30 855 40 50,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,no,,52.464411,13.3395319
Tierarztpraxis Kammbach,veterinary,Schweizer Tal,55,13127,Berlin,+4930 47 48 12 20,https://www.tierarztpraxis-kammbach.de/,,,,yes,,52.6074605,13.41982
Tierarztpraxis am Velodrom,veterinary,Conrad-Blenkle-Straße,4,10407,Berlin,+493042085005,http://www.tierarztpraxis-am-velodrom.de/,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",,limited,,52.5281462,13.4501959
Dipl.-vet.-med. Jörg Porada,veterinary,,,,,,,,,,,,52.5121271,13.4195273
Tierarztpraxis,veterinary,,,,,,,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,yes,,52.5290099,13.4684992
Bella brazil waxing studio,veterinary,,,,,,,,,,,,52.5958722,13.3349653
DVM J. Rafael,veterinary,,,,,,,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,limited,,52.5525185,13.4154857
Dr. König,veterinary,,,,,,,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,,,52.4789793,13.2848224
,veterinary,,,,,,,,,,,,52.478761,13.2825498
Flidais,veterinary,Buschkrugallee,206,12359,Berlin,,https://www.flidais-vet.de,,,,,,52.4463278,13.4543051
Ullrich Mattke,veterinary,Gäblerstraße,5,13086,Berlin,,,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,,,52.5536467,13.4483752
,veterinary,Bruno-Baum-Straße,75,12685,Berlin,,,,,,,,52.5355029,13.5426037
Tierarztpraxis O.C. Lombardi,veterinary,Britzer Damm,13,12347,Berlin,+49 30 6251547,https://www.lombardi-berlin.de/,,"Mo-Sa 10:00-12:00; Mo,Th 16:00-19:00; Tu,Fr 16:00-18:00",,limited,,52.4617945,13.4350014
Naturheilpraxis Dr. Hanik,veterinary,,,,,,,,,,,no,52.5303117,13.1363236
Tierarztpraxis Tanja Lück,veterinary,Ernststraße,59,13509,Berlin,+493043726783,https://www.tanja-lueck.de/,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",,,,52.5838893,13.3006927
Tierarzt-Praxis Ralf Boxhammer,veterinary,,,,,,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,no,,52.4544641,13.5780156
