clinic_id,clinic_name,amenity,street,house_number,postcode,city,phone_number,website,email,opening_hours,operator,brand,speciality,wheelchair_acces,emergency,latitude,longitude,district_id,neighbourhood_id,full_address,district,neighborhood_id,neighborhood
268917040,Tierarztpraxis am Urban,veterinary,Baerwaldstraße,69,10961.0,Berlin,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,,,no,,52.4956842,13.4052329,,,"Baerwaldstraße 69, 10961.0 Berlin",Friedrichshain-Kreuzberg,0202,Kreuzberg
299795048,Dr. med. vet. Elke Hartwig,veterinary,Straße 48,67,13125.0,Berlin,+49 30 9437820,http://www.tierarztpraxis-hartwig.de/,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,,,limited,,52.6062863,13.4795548,,,"Straße 48 67, 13125.0 Berlin",Pankow,0305,Karow
347294456,Tierarztpraxis Dr. Bernhard Sörensen,veterinary,Königsberger Straße,36,12207.0,Berlin,+49 30 7738321,https://www.tierarztpraxis-soerensen.de/,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,,,yes,,52.4297216,13.3201326,,,"Königsberger Straße 36, 12207.0 Berlin",Steglitz-Zehlendorf,0602,Lichterfelde
394867279,Tierarztpraxis Jeanette Koepsel,veterinary,,,,Berlin,,,,,,,,unknown,,52.5351995,13.2705734,,,Berlin,Spandau,0503,Siemensstadt
411550894,Kleintierarztpraxis Berlin Kaulsdorf,veterinary,Planitzstraße,19,12621.0,Berlin,+49 30 53018585,https://www.tierarzt-kaulsdorf.de/,info@tierarzt-kaulsdorf.de,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,,,unknown,,52.5095114,13.5896353,,,"Planitzstraße 19, 12621.0 Berlin",Marzahn-Hellersdorf,1003,Kaulsdorf
581887970,Eva Klein,veterinary,,,,Berlin,,,,,,,,unknown,,52.4288173,13.1935291,,,Berlin,Steglitz-Zehlendorf,0606,Nikolassee
603392630,Klein- und Heimtierklinik,veterinary,Oertzenweg,19b,14163.0,Berlin,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,,Freie Universität Berlin,,,yes,yes,52.4302981,13.2373596,,,"Oertzenweg 19b, 14163.0 Berlin",Steglitz-Zehlendorf,0604,Zehlendorf
702363921,Tierarztpraxis im Frauenviertel - Firchow,veterinary,,,,Berlin,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,,,limited,,52.4042597,13.5071658,,,Berlin,Neukölln,0804,Rudow
703135335,Kleintierpraxis Kladow,veterinary,Zingerleweg,29,14089.0,Berlin,+49 30 3653374,http://www.kleintierpraxis-kladow.de,info@kleintierpraxis-kladow.de,,,,,unknown,,52.4608878,13.121554,,,"Zingerleweg 29, 14089.0 Berlin",Spandau,0506,Kladow
978560965,Carsten Schiller,veterinary,Schnellerstraße,97,12439.0,Berlin,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,,,no,,52.4531078,13.5245669,,,"Schnellerstraße 97, 12439.0 Berlin",Treptow-Köpenick,0905,Niederschöneweide
1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,veterinary,,,,Berlin,,https://www.lewandowski-klug.de/,,,,,,no,,52.4232758,13.4367554,,,Berlin,Neukölln,0803,Buckow
