clinic_id,clinic_name,amenity,street,house_number,postcode,city,phone_number,website,email,opening_hours,operator,brand,speciality,wheelchair_acces,emergency,latitude,longitude,district_id,neighbourhood_id,full_address,district_id,district,neighbourhood_id,neighbourhood
268917040,Tierarztpraxis am Urban,veterinary,Baerwaldstraße,69,10961.0,Berlin,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,,,no,,52.4956842,13.4052329,2,27,"Baerwaldstraße 69, 10961.0 Berlin",2,Friedrichshain-Kreuzberg,27,Kreuzberg
299795048,Dr. med. vet. Elke Hartwig,veterinary,Straße 48,67,13125.0,Berlin,+49 30 9437820,http://www.tierarztpraxis-hartwig.de/,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,,,limited,,52.6062863,13.4795548,7,24,"Straße 48 67, 13125.0 Berlin",7,Pankow,24,Karow
347294456,Tierarztpraxis Dr. Bernhard Sörensen,veterinary,Königsberger Straße,36,12207.0,Berlin,+49 30 7738321,https://www.tierarztpraxis-soerensen.de/,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,,,yes,,52.4297216,13.3201326,10,32,"Königsberger Straße 36, 12207.0 Berlin",10,Steglitz-Zehlendorf,32,Lichterfelde
394867279,Tierarztpraxis Jeanette Koepsel,veterinary,,,,Berlin,,,,,,,,unknown,,52.5351995,13.2705734,9,52,Berlin,9,Spandau,52,Siemensstadt
411550894,Kleintierarztpraxis Berlin Kaulsdorf,veterinary,Planitzstraße,19,12621.0,Berlin,+49 30 53018585,https://www.tierarzt-kaulsdorf.de/,info@tierarzt-kaulsdorf.de,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,,,unknown,,52.5095114,13.5896353,4,25,"Planitzstraße 19, 12621.0 Berlin",4,Marzahn-Hellersdorf,25,Kaulsdorf
581887970,Eva Klein,veterinary,,,,Berlin,,,,,,,,unknown,,52.4288173,13.1935291,10,43,Berlin,10,Steglitz-Zehlendorf,43,Nikolassee
603392630,Klein- und Heimtierklinik,veterinary,Oertzenweg,19b,14163.0,Berlin,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,,Freie Universität Berlin,,,yes,yes,52.4302981,13.2373596,10,67,"Oertzenweg 19b, 14163.0 Berlin",10,Steglitz-Zehlendorf,67,Zehlendorf
702363921,Tierarztpraxis im Frauenviertel - Firchow,veterinary,,,,Berlin,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,,,limited,,52.4042597,13.5071658,6,49,Berlin,6,Neukölln,49,Rudow
703135335,Kleintierpraxis Kladow,veterinary,Zingerleweg,29,14089.0,Berlin,+49 30 3653374,http://www.kleintierpraxis-kladow.de,info@kleintierpraxis-kladow.de,,,,,unknown,,52.4608878,13.121554,9,26,"Zingerleweg 29, 14089.0 Berlin",9,Spandau,26,Kladow
978560965,Carsten Schiller,veterinary,Schnellerstraße,97,12439.0,Berlin,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,,,no,,52.4531078,13.5245669,12,41,"Schnellerstraße 97, 12439.0 Berlin",12,Treptow-Köpenick,41,Niederschöneweide
1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,veterinary,,,,Berlin,,https://www.lewandowski-klug.de/,,,,,,no,,52.4232758,13.4367554,6,10,Berlin,6,Neukölln,10,Buckow
1069431810,Gabriele C. Müller,veterinary,Brunowstraße,39,13507.0,Berlin,+49304343116,https://www.tieraerztin-berlin.com/,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,,,limited,,52.5870846,13.2811455,8,56,"Brunowstraße 39, 13507.0 Berlin",8,Reinickendorf,56,Tegel
1139485719,Tierarztpraxis Feuerbachstraße,veterinary,Feuerbachstraße,68,12163.0,Berlin,+49 30 855 40 50,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,,,no,,52.464411,13.3395319,10,55,"Feuerbachstraße 68, 12163.0 Berlin",10,Steglitz-Zehlendorf,55,Steglitz
1158920335,Tierarztpraxis Kammbach,veterinary,Schweizer Tal,55,13127.0,Berlin,+4930 47 48 12 20,https://www.tierarztpraxis-kammbach.de/,,,,,,yes,,52.6074605,13.41982,7,15,"Schweizer Tal 55, 13127.0 Berlin",7,Pankow,15,Französisch Buchholz
1169112227,Tierarztpraxis am Velodrom,veterinary,Conrad-Blenkle-Straße,4,10407.0,Berlin,+493042085005,http://www.tierarztpraxis-am-velodrom.de/,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",,,,limited,,52.5281462,13.4501959,7,46,"Conrad-Blenkle-Straße 4, 10407.0 Berlin",7,Pankow,46,Prenzlauer Berg
1244610778,Dipl.-vet.-med. Jörg Porada,veterinary,,,,Berlin,,,,,,,,unknown,,52.5121271,13.4195273,5,36,Berlin,5,Mitte,36,Mitte
1247761224,Tierarztpraxis,veterinary,,,,Berlin,,,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,,,yes,,52.5290099,13.4684992,3,14,Berlin,3,Lichtenberg,14,Fennpfuhl
1309566310,Bella brazil waxing studio,veterinary,,,,Berlin,,,,,,,,unknown,,52.5958722,13.3349653,8,66,Berlin,8,Reinickendorf,66,Wittenau
1352697273,DVM J. Rafael,veterinary,,,,Berlin,,,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,,,limited,,52.5525185,13.4154857,7,46,Berlin,7,Pankow,46,Prenzlauer Berg
1387989062,Dr. König,veterinary,,,,Berlin,,,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,,,unknown,,52.4789793,13.2848224,1,50,Berlin,1,Charlottenburg-Wilmersdorf,50,Schmargendorf
1431365727,Unknown Veterinary Clinic,veterinary,,,,Berlin,,,,,,,,unknown,,52.478761,13.2825498,1,50,Berlin,1,Charlottenburg-Wilmersdorf,50,Schmargendorf
1444862410,Flidais,veterinary,Buschkrugallee,206,12359.0,Berlin,,https://www.flidais-vet.de,,,,,,unknown,,52.4463278,13.4543051,6,8,"Buschkrugallee 206, 12359.0 Berlin",6,Neukölln,8,Britz
1464419364,Ullrich Mattke,veterinary,Gäblerstraße,5,13086.0,Berlin,,,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,,,unknown,,52.5536467,13.4483752,7,61,"Gäblerstraße 5, 13086.0 Berlin",7,Pankow,61,Weißensee
1492682203,Unknown Veterinary Clinic,veterinary,Bruno-Baum-Straße,75,12685.0,Berlin,,,,,,,,unknown,,52.5355029,13.5426037,4,35,"Bruno-Baum-Straße 75, 12685.0 Berlin",4,Marzahn-Hellersdorf,35,Marzahn
1504191018,Tierarztpraxis O.C. Lombardi,veterinary,Britzer Damm,13,12347.0,Berlin,+49 30 6251547,https://www.lombardi-berlin.de/,,"Mo-Sa 10:00-12:00; Mo,Th 16:00-19:00; Tu,Fr 16:00-18:00",,,,limited,,52.4617945,13.4350014,6,8,"Britzer Damm 13, 12347.0 Berlin",6,Neukölln,8,Britz
1607627062,Naturheilpraxis Dr. Hanik,veterinary,,,,Berlin,,,,,,,,unknown,no,52.5303117,13.1363236,9,54,Berlin,9,Spandau,54,Staaken
1766858344,Tierarztpraxis Tanja Lück,veterinary,Ernststraße,59,13509.0,Berlin,+493043726783,https://www.tanja-lueck.de/,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",,,,unknown,,52.5838893,13.3006927,8,7,"Ernststraße 59, 13509.0 Berlin",8,Reinickendorf,7,Borsigwalde
1791397445,Tierarzt-Praxis Ralf Boxhammer,veterinary,,,,Berlin,,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,,,no,,52.4544641,13.5780156,12,28,Berlin,12,Treptow-Köpenick,28,Köpenick
1832317052,Tierarztpraxis Michael Voigt,veterinary,Ernststraße,9,12437.0,Berlin,+49 30 532 9481,https://tierarzt-voigt.de/,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",,,,unknown,,52.465439,13.4889671,12,5,"Ernststraße 9, 12437.0 Berlin",12,Treptow-Köpenick,5,Baumschulenweg
1905963733,Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,veterinary,Uhlandstraße,151,10719.0,Berlin,+49 30 23362627,https://www.tierarzt-baerenwiese.de/,,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",,,,limited,,52.497396,13.3245464,1,65,"Uhlandstraße 151, 10719.0 Berlin",1,Charlottenburg-Wilmersdorf,65,Wilmersdorf
1914085674,Tierarztpraxis am Bundesplatz,veterinary,Detmolder Straße,3,10715.0,Berlin,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",,,,unknown,,52.4788705,13.3269233,1,65,"Detmolder Straße 3, 10715.0 Berlin",1,Charlottenburg-Wilmersdorf,65,Wilmersdorf
1965863459,"Dr. Demmler, Dr. Wehming",veterinary,Wiener Straße,25,10999.0,Berlin,,,,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",,,,unknown,,52.4969564,13.4325994,2,27,"Wiener Straße 25, 10999.0 Berlin",2,Friedrichshain-Kreuzberg,27,Kreuzberg
1978736705,Tierarzt Scheibner,veterinary,Dörpfeldstraße,46,12489.0,Berlin,+49 30 677 54 03,https://www.tierarzt-adlershof.de/,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off  || ""Nach Vereinbarung""",,,,yes,,52.4380728,13.5481783,12,1,"Dörpfeldstraße 46, 12489.0 Berlin",12,Treptow-Köpenick,1,Adlershof
2000251280,Tierarztpraxis am Lietzenseepark,veterinary,Riehlstraße,3,14057.0,Berlin,+49 30 3215058,https://tierarztpraxis-am-lietzenseepark.de/,mail@tierarztpraxis-am-lietzenseepark.de,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Tierarztpraxis am Lietzenseepark GmbH,,,unknown,,52.509309,13.2859209,1,11,"Riehlstraße 3, 14057.0 Berlin",1,Charlottenburg-Wilmersdorf,11,Charlottenburg
2018939619,Tierarztpraxis Dr. H. Brieger,veterinary,,,,Berlin,,https://www.dr-brieger.de,,,,,,unknown,,52.431227,13.2561565,10,67,Berlin,10,Steglitz-Zehlendorf,67,Zehlendorf
2021286582,Esther Bartels,veterinary,,,,Berlin,,,,,,,,yes,,52.503473,13.3067983,1,11,Berlin,1,Charlottenburg-Wilmersdorf,11,Charlottenburg
2099577566,Tierarztpraxis Dr. Veit-Uwe Stuhrberg,veterinary,Bernulfstraße,43-45,12524.0,Berlin,+49 30 6723384,https://www.tierarztpraxis-altglienicke.de/,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",,,,no,,52.4127843,13.541714,12,4,"Bernulfstraße 43-45, 12524.0 Berlin",12,Treptow-Köpenick,4,Altglienicke
2132599964,Dr. Ulrich Bemm,veterinary,Krummenseer Straße,10,12685.0,Berlin,+49-30-54378250,,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",,,,yes,,52.541678,13.5721215,4,35,"Krummenseer Straße 10, 12685.0 Berlin",4,Marzahn-Hellersdorf,35,Marzahn
2136188609,Tierarztpraxis Vesmes,veterinary,Blumberger Damm,158,12685.0,Berlin,+49309340440,https://www.tierarztpraxis-vesmes.de,info@tierarztpraxis-vesmes.de,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Joel Vesmes,,,yes,,52.54542,13.5719026,4,35,"Blumberger Damm 158, 12685.0 Berlin",4,Marzahn-Hellersdorf,35,Marzahn
2303053618,Unknown Veterinary Clinic,veterinary,,,,Berlin,,,,,,,,no,,52.5477287,13.2022574,9,53,Berlin,9,Spandau,53,Spandau
2332698000,Flick,veterinary,,,,Berlin,,,,Mo-Sa 17:00-19:00,,,,unknown,,52.4178034,13.3061609,10,32,Berlin,10,Steglitz-Zehlendorf,32,Lichterfelde
2420872095,Dr. Wolfgang Hoffmann,veterinary,,,,Berlin,,,,"Mo-Fr 10:00-12:00,15:00-18:00",,,,no,,52.5286363,13.3412782,5,37,Berlin,5,Mitte,37,Moabit
2444304869,Kleintierpraxis Dr. Jana Pohlenz,veterinary,Sabinensteig,15,13053.0,Berlin,,http://www.kleintierpraxis-pohlenz.de,,,,,,unknown,,52.5490713,13.4937991,3,2,"Sabinensteig 15, 13053.0 Berlin",3,Lichtenberg,2,Alt-Hohenschönhausen
2444308316,Tierarzt Dr. Niels Lösch,veterinary,Am Faulen See,54,13053.0,Berlin,,,,,,,,unknown,,52.5535045,13.49705,3,2,"Am Faulen See 54, 13053.0 Berlin",3,Lichtenberg,2,Alt-Hohenschönhausen
2509134926,Praxis im Märchenviertel,veterinary,,,,Berlin,+49 30 6574725,http://www.tierpraxis-rudelt.de/,tierarzt@tierpraxis-rudelt.de,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Anette Rudelt,,,no,,52.4617784,13.5859364,12,28,Berlin,12,Treptow-Köpenick,28,Köpenick
2525117416,SmartVet Tierarztpraxis,veterinary,Pasewalker Straße,25,13127.0,Berlin,+49 30 47469232,"https://www.smartvet.de/tierarztpraxis_berlin_pankow,3027959488.html",,Mo-Fr 09:00-18:00; Sa 09:00-16:00; Su 11:00-13:00,,,,yes,,52.5883891,13.429743,7,15,"Pasewalker Straße 25, 13127.0 Berlin",7,Pankow,15,Französisch Buchholz
2674384521,Tierarztpraxis Tempelhof,veterinary,,,,Berlin,,,,,,,,unknown,,52.4478307,13.3865847,11,34,Berlin,11,Tempelhof-Schöneberg,34,Mariendorf
2746780787,Dr. med. vet. Jeanette Sagawe,veterinary,Steglitzer Damm,30,12169.0,Berlin,+49 30 7951435,https://www.tieraerzte-steglitz.de,info@tieraerzte-steglitz.de,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",,,,unknown,,52.4505337,13.3410324,10,55,"Steglitzer Damm 30, 12169.0 Berlin",10,Steglitz-Zehlendorf,55,Steglitz
2952593533,Bania,veterinary,Kremnitzufer,2,,Berlin,+49308051172,,,,,,,unknown,,52.396095,13.161149,10,59,"Kremnitzufer 2, Berlin",10,Steglitz-Zehlendorf,59,Wannsee
3065368552,Tierarztpraxis Dr. Koch,veterinary,Lichtenrader Damm,39,12305.0,Berlin,+49 30 67 03 76 57,http://www.tierarztpraxis-koch.de/,koch@tierarztpraxis-koch.de,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Dr. Christian Koch,,,no,,52.4107877,13.403669,11,31,"Lichtenrader Damm 39, 12305.0 Berlin",11,Tempelhof-Schöneberg,31,Lichtenrade
3080776284,Tierärzliche Praxis am Lützowufer,veterinary,Lützowufer,26,10787.0,Berlin,,,,,,,,unknown,,52.5061832,13.3494203,5,58,"Lützowufer 26, 10787.0 Berlin",5,Mitte,58,Tiergarten
3133634694,Praxis Tierzuliebe,veterinary,Edisonstraße,63,12459.0,Berlin,+49 30 535 38 00,https://tierarztinberlin.de/,,"Mo,Tu,Th,Fr 10:00-18:00; Sa 10:00-14:00; Su 11:00-13:00",Miriam Bertram,,,yes,,52.4614933,13.5131144,12,44,"Edisonstraße 63, 12459.0 Berlin",12,Treptow-Köpenick,44,Oberschöneweide
3170028418,Berlin Animal Hospital,veterinary,,,,Berlin,+1-410-641-1841,https://www.berlinanimalhospital.com/,,,,,,unknown,,38.3371968,-75.2071423,0,0,Berlin,0,,0,
3170077002,VCA Delmarva Animal Hospital,veterinary,,,,Berlin,+1-410-629-1800,https://www.vcahospitals.com/delmarva,,Mo-Tu 8:00-19:00; We-Fr 8:00-18:00; Sa 8:00-15:00,,,,unknown,,38.3379778,-75.2065803,0,0,Berlin,0,,0,
3178164316,Dirk Trimpe,veterinary,Bahnhofstraße,3,12159.0,Berlin,+49 30 8521920,http://www.tierarztpraxis-trimpe.de/,,"Mo-Sa 10:00-12:30, Mo,Tu,Th,Fr 17:00-19:00",,,,no,,52.4699319,13.3395083,11,51,"Bahnhofstraße 3, 12159.0 Berlin",11,Tempelhof-Schöneberg,51,Schöneberg
3284006061,Tierarztpraxis Andrea Reich,veterinary,Holländerstraße,95,13407.0,Berlin,+49304557051,https://www.tierarztpraxis-reinickendorf.de/,,"Mo 10:00-18:00; Th,Fr 10:00-16:00; Tu 10:00-14:00; We 14:00-18:00",Andrea Reich,,,no,,52.561957,13.353401,5,60,"Holländerstraße 95, 13407.0 Berlin",5,Mitte,60,Wedding
3393786475,Tierarztpraxis,veterinary,,,,Berlin,+49 30 40534618,,,"Mo,We,Th 09:30-13:00; Tu,Fr 15:00-19:00; Sa 09:00-11:00",,,,unknown,,52.5769899,13.2792318,8,56,Berlin,8,Reinickendorf,56,Tegel
3444597275,Tierarztpraxis am Südkreuz,veterinary,Gustav-Müller-Straße,19,10829.0,Berlin,,https://www.tierarztpraxis-am-suedkreuz.de/,,"Mo-Fr 10:00-12:00, Mo,We 16:00-19:00, Tu,Th,Fr 16:00-18:00",,,,no,,52.4807694,13.3623013,11,51,"Gustav-Müller-Straße 19, 10829.0 Berlin",11,Tempelhof-Schöneberg,51,Schöneberg
3649210316,Tierarztpraxis an den Allee-Arcaden,veterinary,Greifenhagener Straße,45,10437.0,Berlin,+49 30 30361381,https://www.tierarztpraxis-allee-arcaden.de/,,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",Anne Gamalski,,,limited,,52.5496022,13.4168501,7,46,"Greifenhagener Straße 45, 10437.0 Berlin",7,Pankow,46,Prenzlauer Berg
3694035418,Tierarztpraxis Dr. med. vet. Gerald Schmid,veterinary,Eisenacher Straße,40,10781.0,Berlin,+49 30 211 17 79,http://doctor-dolittle.de,,"Mo-We,Fr 10:00-14:00; Th 15:00-18:00",Dr. med. vet. Gerald Schmid,,,yes,,52.4897742,13.3488645,11,51,"Eisenacher Straße 40, 10781.0 Berlin",11,Tempelhof-Schöneberg,51,Schöneberg
3754655246,Tierarzt Dr. Ferencz,veterinary,Elberfelder Straße,3,10555.0,Berlin,,http://www.tierarztpraxis-moabit.de,,"""'Weiter Terminsprechstunde. Bitte rufen Sie an 030-3988 9278'""",,,,no,,52.5241824,13.3359576,5,37,"Elberfelder Straße 3, 10555.0 Berlin",5,Mitte,37,Moabit
3786067403,Tierarztpraxis Tierlieb,veterinary,Preußenallee,40,14052.0,Berlin,,,,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00; Sa 09:30-11:00",Frau Annette Oehler,,,unknown,,52.5154998,13.2608183,1,62,"Preußenallee 40, 14052.0 Berlin",1,Charlottenburg-Wilmersdorf,62,Westend
3826013974,Tierarztpraxis am Nollendorfplatz,veterinary,Nollendorfstraße,20,10777.0,Berlin,+49 30 2167711,http://hund-katze-vogel.de/,,"Mo-Tu 10:00-12:00,17:00-19:00; We 17:00-19:00; Th 10:00-12:00,16:00-18:00; Fr 10:00-14:00; Sa ""by appointment""",Dr. Petra Birkefeld & Dr. Elisabeth Nolte,,,no,,52.4976524,13.3504475,11,51,"Nollendorfstraße 20, 10777.0 Berlin",11,Tempelhof-Schöneberg,51,Schöneberg
3905732054,Tierarztpraxis Tobias Krause,veterinary,,,,Berlin,+49 30 91443116,http://www.ta-krause.de,tierarzt@ta-krause.de,"Mo-Fr 09:30-12:00,16:30-19:00; Sa 10:00-12:00",,,,unknown,,52.4459974,13.3307775,10,55,Berlin,10,Steglitz-Zehlendorf,55,Steglitz
3906998156,Tierheilpraxis Kreuzberg,veterinary,Warschauer Straße,29,10243.0,Berlin,,,,"Mo,We,Fr 11:00-17:00; Tu,Th 14:00-20:00",,,,no,,52.5097882,13.4509749,2,18,"Warschauer Straße 29, 10243.0 Berlin",2,Friedrichshain-Kreuzberg,18,Friedrichshain
3911381119,Katharina Andreas,veterinary,Hampsteadstraße,7,14167.0,Berlin,,,,,,,,unknown,,52.433136,13.2749799,10,67,"Hampsteadstraße 7, 14167.0 Berlin",10,Steglitz-Zehlendorf,67,Zehlendorf
4014948628,Tierarztpraxis am Wildrosengehölz,veterinary,Hönower Straße,263,,Berlin,030 99285501,https://www.tierarztpraxis-mahlsdorf.de/,info@tierarztpraxis-mahlsdorf.de,"Mo-Sa 08-20, So (Notfall) 10-16",,,,yes,,52.5278578,13.6243765,4,33,"Hönower Straße 263, Berlin",4,Marzahn-Hellersdorf,33,Mahlsdorf
4080579671,Dr. med. vet. Susann Zimmer,veterinary,Weerthstraße,10,12489.0,Berlin,+49 30 67 132 67,,,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,16:00-19:00, We 10:00-12:00, Th 16:00-19:00, Fr 10:00-12:00,16:00-18:00; PH off",,,,unknown,,52.4346817,13.544154,12,1,"Weerthstraße 10, 12489.0 Berlin",12,Treptow-Köpenick,1,Adlershof
4137973040,Tierpraxis Dr. Gerriets,veterinary,Morgensternstraße,16,12207.0,Berlin,+49-30-772 40 27,https://www.tierpraxis-drgerriets.de/,,"Mo 10:00-13:00,17:00-19:00; Tu 10:00-12:00; We 17:00-19:00; Th 10:00-12:00; Fr 10:00-12:00",,,,unknown,,52.4259329,13.3186185,10,32,"Morgensternstraße 16, 12207.0 Berlin",10,Steglitz-Zehlendorf,32,Lichterfelde
4174131466,Tierarztpraxis Dr. med. vet. Joachim Kirchner,veterinary,Florastraße,43,13187.0,Berlin,+49 30 49 50 09 49,http://www.tierarzt-in-pankow.de/,info@tierarzt-in-pankow.de,"Mo-Fr 14:00-18:00; Tu,Th 09:00-12:00,14:00-18:00",Dr. med. vet. Joachim Kirchner,,,no,,52.5661672,13.4090789,7,45,"Florastraße 43, 13187.0 Berlin",7,Pankow,45,Pankow
4366353588,Tierarztpraxis Am Westend,veterinary,,,,Berlin,+4930 3228 247,https://www.tierarztamwestend.de/,info@tierarztamwestend.de,"Mo,Tu,Th,Fr 10:00-13:00,17:00-19:00; We,Sa 10:00-13:00",,,,unknown,,52.5179456,13.2866144,1,11,Berlin,1,Charlottenburg-Wilmersdorf,11,Charlottenburg
4412304406,Tierarztpraxis Alexandra Sypitzki,veterinary,Sesenheimer Straße,15,10627.0,Berlin,+49 30 78957110,https://www.tierarztpraxis-sypitzki.de/,,Mo-Fr 08:30+,,,,no,,52.5105206,13.3075345,1,11,"Sesenheimer Straße 15, 10627.0 Berlin",1,Charlottenburg-Wilmersdorf,11,Charlottenburg
